d_pos,d_neg,s_pos,s_neg,hudongdu,comment_count
0.554843485,0.445156425,0.590759635,0.409240365,0.403508772,70
0.6554811,0.34451887,0.445681036,0.554318964,0.360655738,113
0.248885006,0.751114964,0.368476421,0.631523609,0.333333333,83
0.459615439,0.540384471,0.876514077,0.12348593,0.158730159,58
0.551386595,0.448613375,0.505651057,0.494348943,0.133333333,15
0.30430302,0.69569701,0.419755101,0.580244958,0.111111111,62
0.36033085,0.63966924,0.524616659,0.475383371,0.28125,54
0.186342493,0.813657522,0.689606249,0.310393721,0.275,49
0.354892105,0.645107865,0.508496523,0.491503447,0.290909091,54
0.551930726,0.448069274,0.490129173,0.509870887,0.272727273,34
0.519234598,0.480765402,0.351021409,0.648978591,0.351851852,70
0.417370409,0.582629621,0.329803616,0.670196354,0.462365591,106
0.447054833,0.552945197,0.442317486,0.557682514,0.381818182,94
0.455871075,0.544128895,0.315707773,0.684292257,0.207317073,67
0.705195725,0.294804215,0.842721403,0.157278582,0.385416667,107
0.546067357,0.453932613,0.379132181,0.620867908,0.271186441,69
0.471621692,0.528378308,0.479397893,0.520602047,0.317073171,48
0.357269794,0.642730236,0.583587825,0.416412234,0.4,46
0.518088341,0.4819116,0.347248614,0.652751327,0.185185185,47
0.705805123,0.294194877,0.607369363,0.392630577,0.380952381,33
0.367870271,0.632129729,0.410425514,0.589574456,0.333333333,31
0.737165749,0.262834251,0.473455995,0.526543975,0.090909091,17
0.597259045,0.402740955,0.692548215,0.307451755,0.382352941,46
0.587004423,0.412995547,0.653441489,0.346558511,0.423076923,34
0.437546998,0.562452972,0.692616463,0.307383567,0.135135135,24
0.301757753,0.698242247,0.33127147,0.66872859,0.23255814,59
0.421459705,0.578540266,0.556705177,0.443294793,0.384615385,56
0.722670317,0.277329743,0.76759851,0.232401535,0.245614035,37
0.629930496,0.370069474,0.492785871,0.507214129,0.357142857,36
0.481990695,0.518009365,0.685675502,0.314324528,0.189873418,44
0.578325272,0.421674728,0.365628511,0.634371519,0.2,17
0.432703435,0.567296565,0.338931292,0.661068738,0.153846154,15
0.401391059,0.598608971,0.660173833,0.339826137,0.212121212,15
